has_dataset_creator,has_dataset_license,has_dataset_publisher,has_dataset_topic,has_dataset_description,has_dataset_issued_date,has_dataset_semantic_keyword,has_syntactic_keyword,has_dataset_title,has_dataset_URL
British Standards Institution,Subscription,BSI,"Standards, ISO",Standards for various materials and processes,,"MIO.Standards, MIO.Materials",Standards,BSI Standards,https://www.bsigroup.com
Elsevier,Subscription,Elsevier,"Scientific Journals, Books","Access to scientific articles on materials science, chemistry",,"MIO.Journals, MIO.Books",Journals,ScienceDirect,https://www.sciencedirect.com
Elsevier,Subscription,Elsevier,"Chemistry, Reactions","Chemical reactions and material synthesis data",,"MIO.Chemistry, MIO.Synthesis",Chemical Data,Reaxys,https://www.reaxys.com
Trans Tech Publications,Subscription,Trans Tech,"Materials Science, Engineering","Materials science publications",,"MIO.Materials, MIO.Engineering",Materials,Materials Science and Engineering,https://www.scientific.net
CAS,Subscription,ACS,"Chemistry, Biochemistry","Extensive chemistry literature and material research",,"MIO.Chemistry, MIO.Biochemistry",Chemistry,SciFinder,https://scifinder.cas.org
Materials Project,Open Source,LBL,"Materials Data, DFT","Database of material properties computed using DFT",,"MIO.Materials, MIO.DFT",DFT,Materials Project,https://materialsproject.org
NOMAD,Open Source,NOMAD CoE,"Materials, Electronic Structure","Repository of materials data with electronic structure calculations",,"MIO.Electronic Structure, MIO.Materials",Electronic Structure,NOMAD,https://nomad-coe.eu
IZA Database,Open Access,IZA Structure Commission,"Zeolite Materials, Crystallography","Database of Zeolite structures and materials",,"MIO.Crystallography, MIO.Zeolites",Zeolites,IZA Database,https://www.iza-structure.org/databases/
Crystallography Open Database,Open Access,COD,"Crystal Structures, Materials","Open-access repository of crystallographic structures",,"MIO.Crystallography, MIO.Materials",Crystal Structures,COD,https://www.crystallography.net/cod/
Cambridge Crystallographic Data Centre,Subscription,CCDC,"Crystallography, Structural Chemistry","Comprehensive database of small-molecule crystal structures",,"MIO.Crystallography, MIO.Chemistry",Crystal Structures,Cambridge Structural Database,https://www.ccdc.cam.ac.uk
AFLOW,Open Source,AFLOW Consortium,"Materials Data, High-throughput","Automatic flow of materials for high-throughput materials properties",,"MIO.Materials, MIO.HighThroughput",High-throughput,AFLOW,https://aflow.org
ICSD,Subscription,FIZ Karlsruhe,"Crystal Structures, Materials","Inorganic crystal structure database",,"MIO.Crystallography, MIO.Inorganic",Crystallography,ICSD,https://icsd.fiz-karlsruhe.de
OQMD,Open Source,Northwestern University,"Materials Data, DFT","Open Quantum Materials Database with DFT calculations",,"MIO.Materials, MIO.DFT",DFT,OQMD,https://oqmd.org
MatWeb,Subscription,MatWeb,"Materials Properties","Extensive database of material properties including metals, plastics",,"MIO.Properties, MIO.Materials",Properties,MatWeb,https://www.matweb.com
NIST Materials Data,Open Source,NIST,"Materials Data, Properties","Material data resources provided by NIST",,"MIO.Materials, MIO.Properties",Properties,NIST Materials Data,https://materialsdata.nist.gov
JARVIS,Open Source,NIST,"Materials Data, DFT","Joint Automated Repository for Various Integrated Simulations",,"MIO.DFT, MIO.HighThroughput",DFT,JARVIS,https://jarvis.nist.gov
ASM Alloy Phase Diagrams,Subscription,ASM International,"Alloys, Phase Diagrams","Alloy phase diagrams for material properties",,"MIO.Alloys, MIO.PhaseDiagrams",Alloys,ASM Alloy Phase Diagrams,https://www.asminternational.org
The Protein Data Bank,Open Access,RCSB PDB,"Biomaterials, Proteins","Database of biomolecular structures",,"MIO.Biomaterials, MIO.Proteins",Proteins,PDB,https://www.rcsb.org
MPDS,Subscription,MPDS,"Materials Properties, Structures","Materials Property and Structure Database",,"MIO.Materials, MIO.Properties",Properties,MPDS,https://www.mpds.io
EVASE,Open Access,EVASE Project,"Materials Data, Phase Diagrams","Database of materials properties and phase diagrams",,"MIO.PhaseDiagrams, MIO.Materials",Phase Diagrams,EVASE,https://www.evasematerials.org
AIST Data Sheet,Open Access,AIST,"Materials Data, Japanese Standards","AIST Japanese standard data for materials properties",,"MIO.Standards, MIO.Materials",Standards,AIST,https://unit.aist.go.jp
Thermo-Calc,Subscription,Thermo-Calc Software,"Phase Diagrams, Thermodynamics","Software and data resources for thermodynamic phase diagrams",,"MIO.Thermodynamics, MIO.PhaseDiagrams",Phase Diagrams,Thermo-Calc,https://www.thermocalc.com
ESRF Materials Data Bank,Open Access,ESRF,"Synchrotron Data, Materials","Materials data collected using synchrotron radiation",,"MIO.Synchrotron, MIO.Materials",Synchrotron Data,ESRF Materials Data Bank,https://www.esrf.eu/home.html
Metallography,Open Access,Metallography Society,"Metallurgy, Materials Properties","Resource for metallurgical data and case studies",,"MIO.Metallurgy, MIO.Properties",Metallurgy,Metallography,https://www.metallography.com
AMPTIAC,Subscription,AMPTIAC,"Materials Properties, Structures","Material properties database with a focus on defense-related materials",,"MIO.Materials, MIO.Properties",Properties,AMPTIAC,https://amptiac.alionscience.com
NanoHUB,Open Source,Purdue University,"Nanomaterials, Simulations","Online platform for nanotechnology simulations and data",,"MIO.Nanotechnology, MIO.Simulations",Nanomaterials,NanoHUB,https://www.nanohub.org
CIRIMAT,Open Access,CIRIMAT,"Materials Data, Ceramics","Materials research data from CIRIMAT focusing on ceramics",,"MIO.Materials, MIO.Ceramics",Ceramics,CIRIMAT,https://www.cirimat.cnrs.fr
KRISTALL,Open Access,Kristallwerk,"Crystal Structures, Crystallography","Crystallography data repository",,"MIO.Crystallography, MIO.Materials",Crystallography,KRISTALL,https://www.kristallwerk.com
Pymatgen,Open Source,Pymatgen Project,"Materials Data, DFT","Python materials genomics library for materials simulations and DFT data",,"MIO.Materials, MIO.DFT",DFT,Pymatgen,https://pymatgen.org
Biomaterials Databank,Open Access,NIH,"Biomaterials, Structures","Data bank for biomaterial properties and applications",,"MIO.Biomaterials, MIO.Properties",Biomaterials,Biomaterials Databank,https://www.biomaterialsdb.nih.gov
HTEM,Open Access,DOE,"Materials Data, High-Throughput","High-throughput experimental materials database",,"MIO.HighThroughput, MIO.Materials",High-throughput,HTEM,https://htem.nrel.gov
